timestamp,tilt,pan,tilt_setpoint,pan_setpoint
823236.0,7.949689632368518,12.005456140529546,90,90
823286.0,7.656649583453245,13.918837025661432,90,90
823336.0,3.7350459074890665,14.646753731566378,90,90
823386.0,4.2979056171314625,14.657008380799866,90,90
823436.0,5.583181975132092,15.334304245397917,90,90
823503.0,5.881486713392803,15.372827841443765,90,90
823553.0,5.732041058182105,14.563250842899507,90,90
823603.0,5.694739856777986,14.181005671462628,90,90
823653.0,1.1281632873247247,14.325507654392368,90,90
823704.0,5.726549155535324,14.298075823348498,90,90
823754.0,5.517035687333546,13.904231002640529,90,90
823804.0,4.735987264729147,13.501585049512997,90,90
823870.0,4.695489177387813,12.94846384891197,90,90
823920.0,10.136113270206877,12.399944823996279,90,90
823970.0,10.246558190693392,11.93331878761984,90,90
824020.0,9.85677570042651,11.412090474723556,90,90
824070.0,9.185534801042579,11.107261463198896,90,90
824120.0,8.84289038005744,11.797093008020667,90,90
824171.0,8.921932931066479,12.096647248864173,90,90
824237.0,9.659296736685079,11.034140209671776,90,90
824287.0,8.685433910268358,9.918840371903741,90,90
824337.0,8.349000598351779,10.174826729185185,90,90
824387.0,8.696307117833115,10.6716679869361,90,90
824437.0,9.215574127289642,10.642966877633995,90,90
824487.0,9.198524112533107,10.28532457982412,90,90
824537.0,9.372174302339005,9.693549915994637,90,90
824587.0,9.14566440406746,8.998999154897533,90,90
824637.0,7.921206454377739,9.127468458955207,90,90
824687.0,8.022160676596059,8.815883312285251,90,90
824738.0,6.991722311487692,8.688060587178825,90,90
824788.0,6.424569419526392,8.968538222292096,90,90
824838.0,7.0369863777548005,9.195972013322972,90,90
824888.0,6.95881531188374,8.984542821854205,90,90
824938.0,6.829999276938253,8.700212553596316,90,90
824988.0,7.10601073073272,8.58446806410899,90,90
825038.0,7.293098446979428,8.471696292487465,90,90
825088.0,7.482266893980892,8.45528802151,90,90
825138.0,7.836369265101013,7.855655808344906,90,90
825205.0,7.802965468114138,7.5617172040636405,90,90
825255.0,7.431160678937118,7.861243783488874,90,90
825305.0,7.294842721082915,8.104806930672893,90,90
825355.0,7.422772978535974,7.9208923187753015,90,90
825405.0,7.543527552722452,8.1826961004829,90,90
825455.0,7.618488738781863,7.865010040636051,90,90
825505.0,6.5404544201347505,8.254524420931745,90,90
825555.0,3.3571691637755663,8.376613180026652,90,90
825605.0,3.1074940734282563,8.692230497039674,90,90
825655.0,2.4560892629972813,9.740846954493321,90,90
825705.0,2.2880477059498645,10.109959922469784,90,90
825755.0,2.839808517124382,9.542694228444887,90,90
825805.0,3.191880514256468,9.288651592453547,90,90
825855.0,3.776400015507761,9.150944325440022,90,90
825905.0,3.5465744606896124,9.517512817617046,90,90
825955.0,3.2829073931345647,9.1078636858676,90,90
826005.0,3.93026752207534,8.456000698620016,90,90
826055.0,3.34300917225562,7.587763700128221,90,90
826105.0,2.6275369614076425,7.800089072536508,90,90
826155.0,2.9607322017179456,8.222094702914191,90,90
826205.0,7.560904895601368,8.244503093577691,90,90
826272.0,5.133189018765918,8.220808224086,90,90
826322.0,4.81955183247608,8.520986213031662,90,90
826372.0,3.8294345135029886,7.653388277929338,90,90
826439.0,2.9273434439146797,7.3675391461284505,90,90
826506.0,2.4621472806065725,7.8680494524693785,90,90
826556.0,2.22557233349805,8.62768720594326,90,90
826606.0,1.6876232671083073,7.853085130918529,90,90
826656.0,1.679921809168377,7.662721169465897,90,90
826706.0,1.8153536723686443,7.330095192135545,90,90
826756.0,2.7607744924955853,6.822039783274349,90,90
826806.0,3.5563240373688103,6.4244871744194825,90,90
826856.0,7.537828381048627,6.185781119751439,90,90
826906.0,3.3157631355122845,6.483388760556366,90,90
826973.0,2.300664329556085,7.117245829001007,90,90
827039.0,1.4434756172617256,7.751300345737121,90,90
827089.0,1.4656678911483425,7.882777562202051,90,90
827139.0,1.313407551078825,7.94643679756966,90,90
827189.0,1.3099753702354064,7.454129160267286,90,90
827240.0,1.7576125424369877,7.233081219853631,90,90
827290.0,1.9376180609151135,7.023522756524713,90,90
827340.0,2.031699325814998,6.992795520977637,90,90
827390.0,2.926290363961968,6.195421391342194,90,90
827440.0,3.041629100461691,6.041170488874087,90,90
827506.0,6.4496217007127825,6.33095640754199,90,90
827556.0,5.96504664952154,6.19012861304428,90,90
827606.0,5.221351412314505,6.469658398041986,90,90
827656.0,4.465425090463157,6.383812762646386,90,90
827707.0,0.849639771099632,6.104607772903307,90,90
827757.0,0.8175466851810143,5.943701821934582,90,90
827807.0,1.9723186517070275,5.402796899472477,90,90
827857.0,2.984320887965154,4.8225605856290485,90,90
827907.0,3.4727893989788328,4.143514131085098,90,90
827957.0,3.689173593406835,4.288264508669386,90,90
828007.0,6.892004710936945,4.781353393570228,90,90
828074.0,2.6783641541804855,5.196117566025151,90,90
828124.0,5.55821510048132,5.447957550509912,90,90
828174.0,5.12447454513061,5.865030663646678,90,90
828224.0,5.082782579165212,5.1214370524104,90,90
828274.0,6.356530664274587,5.188770016677466,90,90
828324.0,5.992435868404755,5.3393548942732565,90,90
828374.0,6.578806962019499,4.966362727867477,90,90
828424.0,6.9585794721785845,4.744554290649134,90,90
828474.0,7.160417878869467,5.033741682330515,90,90
828524.0,6.221055413800116,5.758073024570933,90,90
